src,dst,type,weight
68b9295d427214137a735189,68b9295d427214137a7351de,friend,1.0
68b9295d427214137a735189,68b9295e427214137a735f4c,friend,1.0
68b9295d427214137a735189,68b9295e427214137a735c03,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351f9,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351a1,friend,1.0
68b9295d427214137a735189,68b9295d427214137a73519b,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351e3,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351fc,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7357d1,friend,1.0
68b9295d427214137a735189,68b9295d427214137a735824,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351a7,friend,1.0
68b9295d427214137a735189,68b9295e427214137a7358c1,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351b1,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351c9,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351f4,friend,1.0
68b9295d427214137a735189,68b9295e427214137a7358c9,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351c2,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351b7,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351dd,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7351d8,friend,1.0
68b9295d427214137a735189,68b9295e427214137a735ca5,friend,1.0
68b9295d427214137a735189,68b9295d427214137a7356c2,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a735192,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351d4,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351a7,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351dd,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351b0,friend,1.0
68b9295d427214137a73518a,68b9295e427214137a735f6d,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351d9,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351d8,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a73519b,friend,1.0
68b9295d427214137a73518a,68b9295e427214137a735b93,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351c2,friend,1.0
68b9295d427214137a73518a,68b9295e427214137a735f3d,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a735530,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351c9,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351b1,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351b7,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351ce,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351de,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351a1,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351fc,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351f9,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351cc,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351fa,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351f2,friend,1.0
68b9295d427214137a73518a,68b9295d427214137a7351c0,friend,1.0
68b9295d427214137a73518b,68b9295d427214137a7351cc,friend,1.0
68b9295d427214137a73518b,68b9295d427214137a7351e3,friend,1.0
