node,khop_count,khop_fraction
1,1580,0.1566372558738971
334,1075,0.10657281649648062
2172,1221,0.12104689203925845
60,1520,0.1506890056508377
208,1024,0.10151680380688015
8277,380,0.037672251412709426
4887,1103,0.109348666600575
422,712,0.07058590264697134
389,994,0.09854267869535045
14826,126,0.012491325468424705
192,1253,0.12421929215822346
323,1230,0.12193912957271735
408,922,0.09140477842767919
65,1719,0.17041736889065134
113,1491,0.14781401804302569
2,975,0.09665906612471498
51,1452,0.14394765539803708
264,1214,0.12035292951323485
229,787,0.07802121542579558
123,1219,0.12084861703182313
272,469,0.046495489243580844
373,803,0.07960741548527808
401,524,0.05194805194805195
1252,1042,0.10330127887379796
433,373,0.036978288886685834
5676,600,0.059482502230593835
3,738,0.07316347774363041
23,1713,0.1698225438683454
232,811,0.08040051551501934
14630,304,0.030137801130167542
404,1088,0.10786160404481016
2606,767,0.07603846535144244
438,571,0.056607514622781796
416,1068,0.10587885397045703
8697,130,0.01288787548329533
148,1109,0.10994349162288093
25,1426,0.14137008030137801
5294,952,0.09437890353920889
4,1104,0.10944780410429265
172,1308,0.12967185486269456
187,1393,0.13809854267869534
240,515,0.05105581441459304
257,532,0.0527411519777932
333,1307,0.1295727173589769
5,1871,0.1854862694557351
14398,103,0.010211162882918607
14474,139,0.013780113016754239
304,1167,0.11569346683850501
142,811,0.08040051551501934
41,1955,0.19381381976801823
120,1432,0.14196490532368394
343,652,0.06463765242391196
5163,1327,0.13155546743333002
8278,430,0.04262912659859225
400,971,0.09626251610984435
8540,270,0.026767126003767225
13222,327,0.03241796371567364
11881,103,0.010211162882918607
5610,658,0.0652324774462179
157,1003,0.09943491622880936
345,1028,0.10191335382175076
70,738,0.07316347774363041
198,521,0.05165063943689898
339,1029,0.10201249132546843
4194,1002,0.09933577872509171
6,1968,0.19510260731634776
3099,841,0.08337464062654902
14898,108,0.01070685040150689
428,759,0.0752453653217012
6528,672,0.06662040249826509
403,777,0.07702984038861901
2293,599,0.05938336472687618
301,602,0.05968077723802915
98,945,0.0936849410131853
376,1085,0.10756419153365718
330,927,0.09190046594626747
116,1098,0.10885297908198671
11112,240,0.023793000892237532
448,691,0.06850401506890057
285,850,0.08426687816000793
2921,950,0.09418062853177357
409,647,0.06414196490532369
265,713,0.07068504015068901
368,617,0.06116783979379399
231,618,0.06126697729751165
7,1663,0.16486566868246258
247,919,0.09110736591652623
14876,165,0.016357688113413305
279,1051,0.10419351640725687
596,553,0.054823039555863984
274,920,0.09120650342024388
321,944,0.09358580350946763
46,1901,0.1884603945672648
93,1431,0.1418657678199663
3542,886,0.08783582829384357
349,629,0.06235748983840587
10100,155,0.01536631307623674
346,832,0.08248240309309011
141,1401,0.1388916427084366
12844,213,0.02111628829186081
8,888,0.08803410330127888
14862,139,0.013780113016754239
7406,296,0.02934470110042629
10157,264,0.026172300981461286
11080,133,0.0131852879944483
241,1181,0.1170813918905522
6258,622,0.061663527312382276
9,1801,0.17854664419549915
6030,495,0.04907306434023991
8064,516,0.051154951918310695
14559,260,0.02577575096659066
405,618,0.06126697729751165
200,955,0.09467631605036185
178,588,0.05829285218598196
549,1097,0.10875384157826906
10197,176,0.017448200654307525
10,1666,0.16516308119361556
454,1134,0.11242192921582235
11281,340,0.033706751264003174
1092,1407,0.13948646773074255
174,514,0.05095667691087538
402,1153,0.11430554178645781
45,1597,0.15832259343709726
11,1378,0.1366114801229305
2634,732,0.07256865272132448
7605,549,0.054426489540993356
261,1312,0.13006840487756519
5013,637,0.06315058986814712
143,395,0.039159313968474274
11035,100,0.00991375037176564
13210,109,0.010805987905224546
12,1884,0.18677505700406463
133,611,0.060573014771488055
4359,870,0.08624962823436105
4927,587,0.0581937146822643
436,821,0.0813918905521959
281,869,0.0861504907306434
169,730,0.07237037771388917
13384,169,0.01675423812828393
13414,207,0.02052146326955487
11755,236,0.023396450877366907
7454,662,0.06562902746108853
176,757,0.07504709031426589
325,643,0.06374541489045306
13,1179,0.11688311688311688
10428,112,0.011103400416377515
14,1087,0.10776246654109249
387,354,0.035094676316050365
13876,117,0.011599087934965797
14252,277,0.02746108852979082
9234,319,0.03162486368593239
103,1176,0.11658570437196392
10478,172,0.017051650639436897
15,1688,0.167344106275404
255,719,0.07127986517299495
14395,87,0.008624962823436106
336,903,0.08952116585704371
4547,1238,0.12273222960245861
191,1320,0.13086150490730644
353,1324,0.13125805492217707
10762,126,0.012491325468424705
16,783,0.07762466541092496
390,860,0.0852582531971845
14356,106,0.010508575394071577
2850,802,0.07950827798156042
17,994,0.09854267869535045
63,1826,0.18102508178844057
332,972,0.09636165361356201
865,679,0.06731436502428868
425,703,0.06969366511351244
91,706,0.06999107762466542
9333,102,0.010112025379200952
8980,265,0.026271438485178943
18,1360,0.1348270050560127
212,562,0.05571527708932289
4970,826,0.08188757807078417
326,1026,0.10171507881431545
33,2096,0.2077922077922078
19,1585,0.15713294339248537
288,571,0.056607514622781796
315,789,0.07821949043323088
14313,98,0.009715475364330326
10686,148,0.014672350550213145
9447,141,0.013978388024189551
2535,695,0.0689005650837712
8150,849,0.08416774065629028
53,990,0.09814612868047982
310,484,0.04798255179934569
20,1372,0.13601665510062458
1295,1336,0.13244770496678893
445,730,0.07237037771388917
360,837,0.08297809061167839
12353,100,0.00991375037176564
4787,975,0.09665906612471498
13700,145,0.014374938039060177
1655,1904,0.18875780707841777
21,1479,0.1466243679984138
2289,736,0.0729652027361951
12060,85,0.008426687816000793
12322,185,0.01834043818776643
82,518,0.05135322692574601
