community,size,members
0,1,1926
1,1,3462
2,1,2056
3,1,1546
4,1,396
5,1,2064
6,9,187;462;473;530;551;553;2202;2311;2324
7,11,19;25;26;39;108;117;118;1017;1253;2506;2533
8,1,3470
9,1,2578
10,1,1423
11,1,1439
12,9,1541;1571;1665;1680;1720;1785;1811;2941;3008
13,12,28;257;323;379;2610;2665;3447;3465;3495;3665;3801;3887
14,1,547
15,1,444
16,12,1072;2926;2936;2945;2980;2981;3019;3505;3604;3709;3719;3867
17,6,227;1746;1847;3067;3123;3148
18,2,3637;3762
19,2,1081;2870
20,12,275;1374;1685;1905;1943;1987;2619;2753;2791;2836;2863;3642
21,1,3528
22,1,1493
23,1,3135
24,2,1400;3136
25,1,577
26,13,922;1192;1212;1224;1227;1239;1256;1258;1323;2095;2103;2123;2633
27,3,807;1100;1808
28,1,3661
29,2,2135;2173
30,1,490
31,1,3164
32,7,2655;2667;2696;2721;2816;2829;3417
33,1,3680
34,1,1633
35,2,3681;3902
36,1,2150
37,1,1134
38,1,1655
39,1,2167
40,1,3190
41,13,1007;1016;1043;1079;1118;1146;1156;2004;2118;2679;2697;3131;3331
42,13,128;138;139;207;300;384;402;657;738;854;921;3522;3879
43,1,2182
44,10,825;980;1363;1671;1877;1886;1898;1916;2272;3163
45,14,2200;2216;2247;2264;2273;2328;2336;2411;3036;3095;3139;3216;3317;3342
46,1,3738
47,1,1692
48,15,2417;2432;2438;2483;2541;2566;2581;3228;3276;3429;3575;3803;3876;3881;3946
49,1,1695
50,1,2724
51,1,694
52,1,703
53,1,195
54,1,1747
55,1,727
56,1,487
57,1,2780
58,1,1246
59,1,3312
60,1,3826
61,2,756;788
62,1,245
63,1,758
64,1,3831
65,1,771
66,1,1804
67,1,793
68,1,3357
69,1,286
70,1,1822
71,1,3364
72,1,303
73,1,2357
74,1,322
75,1,2374
76,1,2890
77,15,580;748;817;843;873;940;954;1428;1529;1908;3405;3701;3745;3945;3963
78,4,1356;1467;1494;1499
79,1,3914
80,1,859
81,1,3452
82,1,389
