node,E,B,P,K,H,A,E_n,B_n,A_n,P_n,K_n,H_n,Base,Reach,Influence_I
250,0.05688877005181364,0.0035713298254845386,160,0.9969992498124531,0.04651302418927019,0.12320899997486759,1.0,0.8937166043779352,0.07034915495741151,1.0,0.9946472019464722,0.5204302756647077,0.8976539528444866,0.9978588807785889,0.9277154312247171
243,0.05615523759338646,0.0034683493342012304,150,0.9989997499374844,0.04877998564593368,0.6373544743740988,0.986443620014366,0.8678723566966764,0.6154913550214712,0.9324324324324325,0.9985401459854016,0.545795114790451,0.9102922025082186,0.9588755178536201,0.9248671971118391
235,0.05397012129717297,0.0035106947763680605,148,0.9997499374843711,0.042998725432870394,0.5065896905001007,0.9460605851752713,0.8784994772502308,0.47684304336363126,0.9189189189189189,1.0,0.48110908547249487,0.8790838007220383,0.9513513513513513,0.9007640659108321
827,0.04826077503571428,0.00368604159082114,158,0.9984996249062266,0.05440710708284116,0.9776142076035425,0.8405464167145483,0.9225049626229702,0.9762646162908627,0.9864864864864864,0.9975669099756691,0.6087564984384338,0.8603303945520848,0.9909186558821594,0.8995068729511071
974,0.04948377321598166,0.00361426963293598,154,0.9992498124531133,0.03869371292551592,0.5851067982648377,0.8631485904329314,0.9044928883646528,0.5600937788087892,0.9594594594594594,0.9990267639902678,0.432940666304013,0.8388887430247948,0.9752863812717828,0.8798080344988911
5,0.05379402899707378,0.0028208463057351335,147,0.9987496874218554,0.07238290214432667,0.5095116342881653,0.9428062313900175,0.7053733393244855,0.4799411448629205,0.9121621621621623,0.9980535279805353,0.8098861420641278,0.8417871049777086,0.9465187084895115,0.8732065860312493
985,0.05101414067783897,0.0034984107227149573,144,0.9967491872968242,0.04215717297536315,0.5311721761031858,0.891431241857889,0.8754166397031922,0.5029075541917537,0.8918918918918919,0.9941605839416058,0.47169302652813067,0.8462137660616853,0.9327993687117775,0.872189446856713
975,0.04993696902590187,0.0037436275832128715,151,0.9967491872968242,0.03863325992854416,0.15395979871860083,0.8715240815739078,0.9369568906706686,0.1029538532686701,0.9391891891891893,0.9941605839416058,0.4322642628572978,0.8307624219518437,0.9611777470901559,0.8698870194933372
984,0.04918847068605709,0.003494715715060307,152,0.9979994998749687,0.03991150181940358,0.5832932197246806,0.8576911178148005,0.8744893311244419,0.558170863516137,0.945945945945946,0.9965936739659368,0.44656640276802856,0.8271983333404211,0.9662050371539423,0.8689003444844774
440,0.049680555911318924,0.0031527197031098616,140,0.9992498124531133,0.04663848150794748,0.6505792056588716,0.8667853224710871,0.7886611365925837,0.6295133769331901,0.8648648648648649,0.9990267639902678,0.5218340069438799,0.8142369036542808,0.9185296245150261,0.8455247199125042
128,0.04598492019403949,0.0034227797597454184,151,0.9992498124531133,0.05992508159816192,0.1747477770354643,0.7984864469457376,0.856436099651392,0.12499509412133075,0.9391891891891893,0.9990267639902678,0.6704966464544743,0.7757972850916505,0.9631242191096206,0.8319953652970415
257,0.046854875489384856,0.003449910811620479,150,0.9984996249062266,0.03425576098827952,0.22475182720545034,0.8145640511726909,0.8632449778745804,0.1780137810087954,0.9324324324324325,0.9975669099756691,0.3832847991498093,0.7757768530739189,0.9584862234497271,0.8305896641866612
1566,0.03861995958908186,0.00399483282048003,152,0.9984996249062266,0.04759864016152992,0.49609469699139824,0.6623749451396547,0.9999999999999999,0.4657153292518281,0.945945945945946,0.9975669099756691,0.5325771405387287,0.7473395905733204,0.9665943315578354,0.813116012868675
20,0.048679796157145995,0.0028032003135193303,134,0.9982495623905977,0.051272158015551746,0.6339793679647063,0.8482903269926493,0.7009448559513372,0.6119127707003384,0.8243243243243243,0.9970802919708032,0.5736798196861498,0.7785372825003152,0.893426711382916,0.8130041111650954
623,0.042655598782900435,0.0033776287435866455,150,0.9954988747186797,0.04639282870981478,0.5220268512116008,0.7369574094434532,0.8451048850676742,0.4932108773173248,0.9324324324324325,0.991727493917275,0.5190854186575157,0.7463207259851162,0.9561504570263695,0.8092696452974921
636,0.04181675140123731,0.0033603444758101377,144,0.9979994998749687,0.04237219474855375,0.9298345192479698,0.7214547091537312,0.840767180985681,0.9256043932110677,0.8918918918918919,0.9965936739659368,0.4740988868789894,0.7550881437924458,0.9337726047215098,0.8086934820711651
126,0.04152820463271402,0.0035508342492024847,148,0.9987496874218554,0.04478785788455973,0.5045797953939408,0.7161220894546442,0.888572982093727,0.4747119760011299,0.9189189189189189,0.9980535279805353,0.501127536460426,0.7450371239239824,0.9505727625435654,0.8066978155098572
484,0.04311571031762824,0.003437833056280316,143,0.9989997499374844,0.04002566938783721,0.5317536661871718,0.7454607097799067,0.8602139134801982,0.5035241010631814,0.8851351351351351,0.9985401459854016,0.4478438139909605,0.7529089956647106,0.9304971394752417,0.80618543880787
978,0.04366690387757294,0.0031959992317732756,136,0.9979994998749687,0.03658404440957478,0.9209135012087901,0.7556472928798099,0.7995226778842082,0.9161455461671019,0.8378378378378379,0.9965936739659368,0.40933576452758375,0.7595192446278827,0.9013401722890775,0.802065522926241
634,0.03945545467801747,0.003574015747630184,142,0.9989997499374844,0.036177040091621836,0.9660564184893758,0.6778156918600218,0.894390670274491,0.9640100329106717,0.8783783783783785,0.9985401459854016,0.40478182779521704,0.7434462092336548,0.9264430854211878,0.7983452720899147
1189,0.037468691542594156,0.0037723318555756722,143,0.9977494373593399,0.04505940389490263,0.8983768457799931,0.6410984127596557,0.9441605883342743,0.8922502042176359,0.8851351351351351,0.9961070559610706,0.5041658416981878,0.7377280264518669,0.9295239034655093,0.7952667895559595
1000,0.04550371892301853,0.0031595878502574254,137,0.9969992498124531,0.039076527532417894,0.29605895536232957,0.7895933881525146,0.7903847843804415,0.2536198626710191,0.8445945945945947,0.9946472019464722,0.43722394641471435,0.7454136586599279,0.9046156375353457,0.7931742523225532
819,0.04557943796462773,0.0025988993216956436,136,0.9954988747186797,0.0652046662890027,0.8246241094998894,0.7909927483149856,0.6496729561145763,0.8140510739744694,0.8378378378378379,0.991727493917275,0.7295694709792507,0.7466785630710502,0.8993937002696129,0.7924931042306189
1010,0.04446679134450593,0.002856301260287293,140,0.9952488122030507,0.03965376586815367,0.39315362216334876,0.770429976758231,0.7142712054693746,0.3565681582603998,0.8648648648648649,0.9912408759124088,0.44368261710808343,0.7165518864641751,0.9154152692838825,0.7762109013100873
1016,0.04620235675640493,0.002895917621615454,133,0.9959989997499374,0.04730028286924571,0.10964356918272941,0.8025048821606102,0.7242134289103032,0.05596589349724994,0.8175675675675675,0.9927007299270073,0.5292388461453518,0.7280271949515872,0.8876208325113435,0.7759052862195139
1999,0.03899934914234763,0.003422795889959023,143,0.9964991247811953,0.051858898343235246,0.3613986929444229,0.66938642620987,0.8564401477310851,0.32289879260564763,0.8851351351351351,0.9936739659367396,0.5802448073600831,0.7037210800435341,0.9285506674557769,0.7711699562672069
2571,0.03668544409678314,0.003626681398671503,154,0.9982495623905977,0.058087214148192554,0.11357301111143654,0.6266232523544049,0.9076077768627873,0.06013223303479498,0.9594594594594594,0.9970802919708032,0.6499329037115675,0.6837595413087971,0.974507792463997,0.770984016655357
620,0.040152812285406236,0.003481554240481361,142,0.9967491872968242,0.041744252405344635,0.11877448703705626,0.6907035260697103,0.8711862937760076,0.0656472947651075,0.8783783783783785,0.9941605839416058,0.4670728933540779,0.7024140131805878,0.9246912606036695,0.7690971874075123
446,0.03867834743859143,0.003219953270948583,151,0.9942485621405351,0.03386808789275465,0.4702109911589919,0.6634540083295684,0.8055342448683867,0.43827115042330383,0.9391891891891893,0.9892944038929442,0.378947157822709,0.6805935938705576,0.9592312750706913,0.7641848982305977
13,0.04428601387445252,0.0027621722315630455,130,0.9987496874218554,0.048174598698104185,0.3497458124465868,0.7670890365602467,0.6906483434881355,0.3105433849866334,0.7972972972972974,0.9980535279805353,0.539021491668018,0.7099261688153212,0.8775997895705925,0.7602282550419026
244,0.04294750929565958,0.002906169688006891,127,0.9979994998749687,0.025866728929700673,0.7315724713554482,0.7423521943466999,0.7267863137330808,0.7153895525502106,0.777027027027027,0.9965936739659368,0.28942063222227155,0.7136877199665682,0.8648536858025909,0.7590375097173749
2,0.04418724788391397,0.0027139413726503274,127,0.9964991247811953,0.050813794891546804,0.33641117285153566,0.7652637467833375,0.678544203683724,0.2964048286288214,0.777027027027027,0.9936739659367396,0.5685512336365792,0.7059693122883898,0.863685802590912,0.7532842593791464
841,0.043279686593213816,0.0028058758359237293,134,0.9959989997499374,0.05317057364422859,0.13506960814067076,0.7484911478674503,0.7016163119022106,0.08292481369905219,0.8243243243243243,0.9927007299270073,0.5949210308561256,0.6934718745188923,0.8916748865653976,0.7529327781328439
991,0.04433105276462934,0.0025826443405158575,124,0.997249312328082,0.048241243152519604,0.5222493355212262,0.7679213982401611,0.6455935644314577,0.4934467747278207,0.7567567567567568,0.9951338199513383,0.5397671708060119,0.7060916055502257,0.8521075820345894,0.7498963984955347
258,0.04325432004764525,0.002888754344306048,121,0.9964991247811953,0.03437033943706455,0.5306534807191677,0.7480223498930734,0.7224157145016146,0.5023575877777984,0.7364864864864866,0.9936739659367396,0.38456680767808266,0.7098843440591224,0.8393614782665879,0.748727484321362
239,0.044360729222070544,0.0025760167636635664,124,0.9967491872968242,0.03543095545323189,0.6296771355112039,0.7684698474997386,0.6439302907806652,0.6073511658984488,0.7567567567567568,0.9941605839416058,0.39643395016751265,0.7044502515373406,0.8517182876306963,0.7486306623653474
821,0.03994908160594565,0.002944742581637662,128,0.9964991247811953,0.04532153926040887,0.6479749902864151,0.6869383886531316,0.7364666658498129,0.6267521590128331,0.7837837837837838,0.9936739659367396,0.5070988520304498,0.689795583498987,0.8677398566449661,0.7431788654427807
2014,0.03506616128321239,0.0031673321187585617,142,0.9962490622655664,0.05200688025461945,0.8168839876258125,0.5966973603604229,0.7923283058257113,0.8058443167874522,0.8783783783783785,0.9931873479318737,0.5819005643932462,0.6651041520230019,0.9243019661997766,0.7428634962760342
10,0.042854344800749906,0.0023930685955319587,127,0.9974993748437109,0.0581630229480258,0.6099472307690315,0.7406304255556183,0.5980171502323424,0.586431787602316,0.777027027027027,0.9956204379562043,0.6507811219317908,0.685644045879779,0.8644643913986979,0.7392901495354547
277,0.044695565110836236,0.00228122082388766,116,0.9954988747186797,0.0401848925474736,0.9399684319906076,0.7746579343236918,0.5699475471750041,0.9363492577734447,0.7027027027027026,0.991727493917275,0.4496253483957024,0.7050777550551736,0.8183126191885316,0.739048214295181
460,0.03914573660897157,0.0030410169685473128,134,0.997249312328082,0.03447599081812087,0.4597406036513011,0.6720918063193522,0.7606279324125184,0.42716952575543077,0.8243243243243243,0.9951338199513383,0.38574893200402965,0.6720893864033398,0.8926481225751299,0.7382570072548769
